PlateID,Column,Row,ProcessingDate,CoreID,Morphotype,Notes,OakTip
MBH004,4,C,11 Apr 2024,SOS-080,U,,
MBH004,4,D,11 Apr 2024,SOS-080,U,,
MBH004,4,E,11 Apr 2024,SOS-080,V,,
MBH004,4,F,11 Apr 2024,SOS-080,U,,
MBH004,4,G,11 Apr 2024,SOS-080,U,,
MBH004,4,H,11 Apr 2024,SOS-080,U,,
MBH004,5,A,12 Apr 2024,SOS-085,S,,
MBH004,5,B,12 Apr 2024,SOS-085,K,,
MBH004,5,C,12 Apr 2024,SOS-085,Q,,
MBH004,5,D,12 Apr 2024,SOS-085,Q,,
MBH004,5,E,12 Apr 2024,SOS-085,S,,
MBH004,5,F,12 Apr 2024,SOS-085,K,,
MBH004,5,G,12 Apr 2024,SOS-085,Q,,
MBH004,5,H,12 Apr 2024,SOS-085,S,,
MBH004,6,A,12 Apr 2024,,NEGCTRL,,
MBH004,6,B,12 Apr 2024,,NEGCTRL,,
MBH004,6,C,12 Apr 2024,,NEGCTRL,,
MBH004,6,D,12 Apr 2024,,NEGCTRL,,
MBH004,6,E,12 Apr 2024,,NEGCTRL,,
MBH004,6,F,12 Apr 2024,,NEGCTRL,,
MBH004,6,G,12 Apr 2024,,NEGCTRL,,
MBH004,6,H,12 Apr 2024,,NEGCTRL,,
MBH004,7,A,12 Apr 2024,,NEGCTRL,,
MBH004,7,B,12 Apr 2024,,NEGCTRL,,
MBH004,7,C,12 Apr 2024,,NEGCTRL,,
MBH004,7,D,12 Apr 2024,,NEGCTRL,,
MBH004,7,E,12 Apr 2024,,NEGCTRL,,
MBH004,7,F,12 Apr 2024,,NEGCTRL,,
MBH004,7,G,12 Apr 2024,,NEGCTRL,,
MBH004,7,H,12 Apr 2024,,NEGCTRL,,
MBH004,8,A,12 Apr 2024,,NEGCTRL,,
MBH004,8,B,12 Apr 2024,,NEGCTRL,,
MBH004,8,C,12 Apr 2024,,NEGCTRL,,
MBH004,8,D,12 Apr 2024,,NEGCTRL,,
MBH004,8,E,12 Apr 2024,,NEGCTRL,,
MBH004,8,F,12 Apr 2024,,NEGCTRL,,
MBH004,8,G,12 Apr 2024,,NEGCTRL,,
MBH004,8,H,12 Apr 2024,,NEGCTRL,,
MBH004,9,A,12 Apr 2024,,NEGCTRL,,
MBH004,9,B,12 Apr 2024,,NEGCTRL,,
MBH004,9,C,12 Apr 2024,,NEGCTRL,,
MBH004,9,D,12 Apr 2024,,NEGCTRL,,
MBH004,9,E,12 Apr 2024,,NEGCTRL,,
MBH004,9,F,12 Apr 2024,,NEGCTRL,,
MBH004,9,G,12 Apr 2024,,NEGCTRL,,
MBH004,9,H,12 Apr 2024,,NEGCTRL,,
MBH004,10,A,12 Apr 2024,,NEGCTRL,,
MBH004,10,B,12 Apr 2024,,NEGCTRL,,
MBH004,10,C,12 Apr 2024,,NEGCTRL,,
MBH004,10,D,12 Apr 2024,,NEGCTRL,,
MBH004,10,E,12 Apr 2024,,NEGCTRL,,
MBH004,10,F,12 Apr 2024,,NEGCTRL,,
MBH004,10,G,12 Apr 2024,,NEGCTRL,,
MBH004,10,H,12 Apr 2024,,NEGCTRL,,
MBH004,11,A,12 Apr 2024,,NEGCTRL,,
MBH004,11,B,12 Apr 2024,,NEGCTRL,,
MBH004,11,C,12 Apr 2024,,NEGCTRL,,
MBH004,11,D,12 Apr 2024,,NEGCTRL,,
MBH004,11,E,12 Apr 2024,,NEGCTRL,,
MBH004,11,F,12 Apr 2024,,NEGCTRL,,
MBH004,11,G,12 Apr 2024,,NEGCTRL,,
MBH004,11,H,12 Apr 2024,,NEGCTRL,,
MBH004,12,A,12 Apr 2024,,NEGCTRL,,
MBH004,12,B,12 Apr 2024,,NEGCTRL,,
MBH004,12,C,12 Apr 2024,,NEGCTRL,,
MBH004,12,D,12 Apr 2024,,NEGCTRL,,
MBH004,12,E,12 Apr 2024,,NEGCTRL,,
MBH004,12,F,12 Apr 2024,,NEGCTRL,,
MBH004,12,G,12 Apr 2024,,NEGCTRL,,
MBH004,12,H,12 Apr 2024,,NEGCTRL,,
MBH005,1,A,18 Apr 2024,MBH-1188,K,,
MBH005,1,B,18 Apr 2024,MBH-1188,K,,
MBH005,1,C,18 Apr 2024,MBH-1188,K,,
MBH005,1,D,18 Apr 2024,MBH-1188,K,,
MBH005,1,E,18 Apr 2024,MBH-1188,K,,
MBH005,1,F,18 Apr 2024,MBH-1188,K,,
MBH005,1,G,18 Apr 2024,MBH-1188,K,,
MBH005,1,H,18 Apr 2024,,NEGCTRL,,
MBH005,2,A,18 Apr 2024,MBH-1165,H,,
MBH005,2,B,18 Apr 2024,MBH-1165,H,,
MBH005,2,C,18 Apr 2024,MBH-1165,H,,
MBH005,2,D,18 Apr 2024,MBH-1165,H,,
MBH005,2,E,18 Apr 2024,MBH-1165,H,,
MBH005,2,F,18 Apr 2024,MBH-1165,H,,
MBH005,2,G,18 Apr 2024,MBH-1165,H,,
MBH005,2,H,18 Apr 2024,MBH-1165,H,,
MBH005,3,A,18 Apr 2024,MBH-1180,H,,
MBH005,3,B,18 Apr 2024,MBH-1180,K,,
MBH005,3,C,19 Apr 2024,MBH-1187,K,,
MBH005,3,D,19 Apr 2024,MBH-1166,H,,
MBH005,3,E,19 Apr 2024,MBH-1166,K,,
MBH005,3,F,19 Apr 2024,MBH-1166,K,,
MBH005,3,G,19 Apr 2024,MBH-1166,K,,
MBH005,3,H,19 Apr 2024,MBH-1166,K,,
MBH005,4,A,18 Apr 2024,MBH-1186,W,,
MBH005,4,B,18 Apr 2024,MBH-1186,W,,
MBH005,4,C,18 Apr 2024,MBH-1186,K,,
MBH005,4,D,18 Apr 2024,MBH-1186,K,,
MBH005,4,E,18 Apr 2024,MBH-1186,K,,
MBH005,4,F,18 Apr 2024,MBH-1186,W,,
MBH005,4,G,18 Apr 2024,MBH-1186,K,,
MBH005,4,H,18 Apr 2024,MBH-1186,K,,
MBH005,5,A,19 Apr 2024,MBH-1222,H,,
MBH005,5,B,19 Apr 2024,MBH-1222,Q,,
MBH005,5,C,19 Apr 2024,MBH-1222,H,,
MBH005,5,D,19 Apr 2024,MBH-1222,R,,
MBH005,5,E,19 Apr 2024,MBH-1222,V,,
MBH005,5,F,19 Apr 2024,MBH-1222,R,,
MBH005,5,G,19 Apr 2024,MBH-1222,Q,,
MBH005,5,H,19 Apr 2024,MBH-1222,R,,
MBH005,6,A,19 Apr 2024,MBH-1183,H,,
MBH005,6,B,19 Apr 2024,MBH-1207,I,,
MBH005,6,C,19 Apr 2024,MBH-1179,R,,
MBH005,6,D,19 Apr 2024,MBH-1179,R,,
MBH005,6,E,19 Apr 2024,MBH-1202,H,,
MBH005,6,F,19 Apr 2024,MBH-1202,H,,
MBH005,6,G,19 Apr 2024,MBH-1202,H,,
MBH005,6,H,19 Apr 2024,MBH-1202,H,,
MBH005,7,A,19 Apr 2024,MBH-1221,Q,,
MBH005,7,B,19 Apr 2024,MBH-1221,P,,
MBH005,7,C,19 Apr 2024,MBH-1221,U,,
MBH005,7,D,19 Apr 2024,MBH-1221,Q,,
MBH005,7,E,19 Apr 2024,MBH-1221,Q,,
MBH005,7,F,19 Apr 2024,MBH-1221,Q,,
MBH005,7,G,19 Apr 2024,MBH-1221,Q,,
MBH005,7,H,19 Apr 2024,MBH-1221,H,,
MBH005,8,A,19 Apr 2024,MBH-1220,R,,
MBH005,8,B,19 Apr 2024,MBH-1220,R,,
MBH005,8,C,19 Apr 2024,MBH-1220,R,,
MBH005,8,D,19 Apr 2024,MBH-1220,R,,
MBH005,8,E,19 Apr 2024,MBH-1220,R,,
MBH005,8,F,19 Apr 2024,MBH-1220,R,,
MBH005,8,G,19 Apr 2024,MBH-1220,R,,
MBH005,8,H,19 Apr 2024,MBH-1220,R,,
MBH005,9,A,19 Apr 2024,MBH-1204,H,,
MBH005,9,B,19 Apr 2024,MBH-1204,R,,
MBH005,9,C,19 Apr 2024,MBH-1204,R,,
MBH005,9,D,19 Apr 2024,MBH-1204,R,,
MBH005,9,E,19 Apr 2024,MBH-1204,R,,
MBH005,9,F,19 Apr 2024,MBH-1204,R,,
MBH005,9,G,19 Apr 2024,MBH-1204,R,,
MBH005,9,H,19 Apr 2024,MBH-1204,R,,
MBH005,10,A,19 Apr 2024,MBH-1178,R,,
MBH005,10,B,19 Apr 2024,MBH-1178,R,,
MBH005,10,C,19 Apr 2024,MBH-1178,R,,
MBH005,10,D,19 Apr 2024,MBH-1178,R,,
MBH005,10,E,19 Apr 2024,MBH-1178,R,,
